validatedAt,companyName,contactName,category,outreachType,email,outreachUrl,suggestedAsk,eligibility,personalizationIdea,recommendedTemplateId,validationStatus,sourceUrl
2026-07-27,SOLIDWORKS,Student Team Sponsorship Program,CAD and simulation software,FORM,,https://www.solidworks.com/product/students/solidworks-sponsorship-student-teams,"complimentary SOLIDWORKS and 3DEXPERIENCE tools, simulation access, training, and student-team support",Competitive student engineering teams; select the closest collegiate vehicle or SAE pathway on the official page.,"Connect the request to CAD collaboration, structural validation, electrical packaging, and manufacturing drawings for the EV-Kart.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://www.solidworks.com/product/students/solidworks-sponsorship-student-teams
2026-07-27,Ansys,Student Design Team Partnership,Engineering simulation software,FORM,,https://www.ansys.com/academic/students/student-teams,"a student-team partnership providing research software, learning resources, and technical support",University-based student teams; the official program explicitly includes Formula SAE and other vehicle competitions.,"Describe structural, thermal, electronics, battery cooling, or airflow analyses the team wants to perform and how results will affect design decisions.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://www.ansys.com/academic/students/student-teams
2026-07-27,MathWorks,Student Competition Support,"Controls, data, and simulation software",FORM,,https://www.mathworks.com/academia/academic-support/student-competition-individual-team.html,"complimentary MATLAB and Simulink competition licenses, online training, and technical support",The official request must be completed by a faculty advisor or another person authorized to act for Purdue; university legal and tax information may be required.,"Connect MATLAB or Simulink to battery-data analysis, controls, telemetry, lap analysis, test automation, or model-based design.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://www.mathworks.com/academia/academic-support/student-competition-individual-team.html
2026-07-27,Altair,Student Team Technology Sponsorship,"Simulation, optimization, and data software",FORM,,https://altair.com/student-team-technology-sponsorship,"a sponsored student-team software license, training resources, and technical guidance",Student engineering teams can request a team license through the official sponsorship form.,"Connect Altair tools to lightweighting, structural optimization, electric-drive analysis, data analytics, or sensor calibration.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://altair.com/student-team-technology-sponsorship
2026-07-27,Altium,Education Team Sponsorship,PCB design software,FORM,studentsupport@altium.com,https://www.altium.com/education/students,"free Altium team sponsorship, PCB-design software, training, and support for EV-Kart electronics",Student engineering teams can apply; use a Purdue-domain address and be prepared to verify enrollment if requested.,"Explain the team’s PCB needs for telemetry, battery monitoring, power distribution, controls, or sensor interfaces.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://www.altium.com/education/students
2026-07-27,SendCutSend,STEM Sponsorship Program,Sheet metal and fabrication,FORM,partner@sendcutsend.com,https://sendcutsend.com/stem-sponsorships/,"$750–$1,500 in discounted or sponsored laser-cut sheet metal and fabrication services for kart brackets, enclosures, and fixtures",U.S. or Canadian college engineering teams. The official program has defined application windows and says it typically sponsors 10–15% of applicants.,"Include drawings or renderings for specific brackets, battery enclosures, tabs, guards, or test fixtures and explain why their manufacturing process is a strong fit.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://sendcutsend.com/stem-sponsorships/
2026-07-27,PCBWay,Educational and Engineering Sponsorship,PCB fabrication and assembly,EMAIL,sponsor@PCBWay.com,https://www.pcbway.com/project/sponsor/learnsponsor.aspx,"sponsored or discounted PCB fabrication for battery monitoring, telemetry, controls, or power-distribution boards",University projects and competition PCBs are explicitly supported; shipping may remain the team’s responsibility.,"Attach or describe a real PCB, its function, board quantity, timeline, and how the team will document the finished board in the kart.",TPL-INKIND,OFFICIAL_STUDENT_PROGRAM,https://www.pcbway.com/Home/sponsor
2026-07-27,JLCPCB / EasyEDA,Education Program,PCB fabrication and electronics education,FORM,,https://jlcpcb.com/cooperation,free PCB sponsorship for a defined EV-Kart electronics board and related educational support,The official education program supports student PCB projects through an online application.,"Present one board with a clear technical purpose, expected quantities, timeline, and photos or documentation the club can share afterward.",TPL-PROGRAM,OFFICIAL_STUDENT_PROGRAM,https://jlcpcb.com/cooperation
2026-07-27,Polymaker,Sponsorship and Donations Team,Engineering-grade 3D-printing materials,EMAIL,Support@Polymaker.com,https://shop.polymaker.com/blogs/order-help/marketing-donation-requests,"engineering-grade filament for battery prototypes, cell-containment iterations, brackets, jigs, and fitment tools","Official sponsorship requests should state the exact materials, diameters, colors, quantities, project description, and places where prints will be shared.",Reference the team’s successful use of 3D-printed battery containment and specify materials and spool quantities rather than asking for generic filament support.,TPL-INKIND,OFFICIAL_SPONSOR_CONTACT,https://shop.polymaker.com/pages/start-here
2026-07-27,Mouser Electronics,Educational Sales Team,Electronic components and educational purchasing,EMAIL,edusales@mouser.com,https://www.mouser.com/educationalsales/,"educational pricing, project quoting, or component support for connectors, sensors, protection, controls, and battery electronics",Qualifying educational customers can register for educational pricing; sponsorship requests should be framed around a specific bill of materials and student impact.,"Provide a concise bill-of-materials summary and connect the parts to battery safety, data acquisition, controls, or wiring-harness reliability.",TPL-INKIND,OFFICIAL_ACADEMIC_CONTACT,https://www.mouser.com/educationalsales/
